trial,n_components,method,rmse
0,2,project,2.0341547400614775
0,2,sklearn,2.034154740061474
0,4,project,1.6204361708500308
0,4,sklearn,1.6045581864207679
0,6,project,1.285698982385196
0,6,sklearn,1.1747658363352074
0,8,project,0.9606119693026924
0,8,sklearn,0.7309319215218805
1,2,project,2.0777810530868983
1,2,sklearn,1.9682963785315977
1,4,project,1.801281256722719
1,4,sklearn,1.5133945636275106
1,6,project,1.586180734671196
1,6,sklearn,1.1035411938260453
1,8,project,1.4236611251802742
1,8,sklearn,0.6993985442452387
2,2,project,2.1281378468914904
2,2,sklearn,2.1281378468914904
2,4,project,1.760222778743015
2,4,sklearn,1.7258283906074532
2,6,project,1.4794818304873845
2,6,sklearn,1.2943065261837796
2,8,project,1.3971835207164895
2,8,sklearn,0.8077658726207094
3,2,project,2.0876976339975393
3,2,sklearn,2.0325022086674824
3,4,project,1.8100676723955758
3,4,sklearn,1.6168272944056326
3,6,project,1.6187050655214292
3,6,sklearn,1.166194492409591
3,8,project,1.5426498303840144
3,8,sklearn,0.7321419441390378
4,2,project,2.090176519733273
4,2,sklearn,2.074269482367396
4,4,project,1.7424348814784478
4,4,sklearn,1.6651441876221649
4,6,project,1.4195026141315497
4,6,sklearn,1.2619395261846684
4,8,project,1.4282609504324244
4,8,sklearn,0.7823418428508448
5,2,project,2.1599248961965825
5,2,sklearn,2.1082873301266902
5,4,project,1.850405054290547
5,4,sklearn,1.6739375262417693
5,6,project,1.6124301909896064
5,6,sklearn,1.249315872585712
5,8,project,1.5230041862588546
5,8,sklearn,0.7867081640281742
6,2,project,2.186050020027242
6,2,sklearn,2.1860500200272
6,4,project,1.7923624922720593
6,4,sklearn,1.7085300036217326
6,6,project,1.4884911306500943
6,6,sklearn,1.2935127497938168
6,8,project,1.2407231747401304
6,8,sklearn,0.8223114523174356
7,2,project,2.0621753203880813
7,2,sklearn,2.0621753203880764
7,4,project,1.7238921239451397
7,4,sklearn,1.6214331387970593
7,6,project,1.4608556862113882
7,6,sklearn,1.224087022438606
7,8,project,1.3876579005813878
7,8,sklearn,0.7611082454893033
8,2,project,2.0114539175142756
8,2,sklearn,2.011453917514275
8,4,project,1.591954927971928
8,4,sklearn,1.5871408945345584
8,6,project,1.252822928696817
8,6,sklearn,1.133351507788877
8,8,project,0.9674821279232961
8,8,sklearn,0.7351805086359342
9,2,project,2.1009784819130117
9,2,sklearn,2.100978481913005
9,4,project,1.6803886523591962
9,4,sklearn,1.68038865235912
9,6,project,1.328110294664191
9,6,sklearn,1.272245250412993
9,8,project,1.0861496971872702
9,8,sklearn,0.7643008505118021
10,2,project,2.0683322734740623
10,2,sklearn,2.068311162921402
10,4,project,1.652058728993874
10,4,sklearn,1.6515737391434033
10,6,project,1.2492010829736224
10,6,sklearn,1.2490418274790325
10,8,project,0.8337121660752027
10,8,sklearn,0.8022149695257548
11,2,project,2.4956201634062825
11,2,sklearn,2.022106349437263
11,4,project,2.4956201634062825
11,4,sklearn,1.595417055885707
11,6,project,2.4956201634062825
11,6,sklearn,1.1878038446593269
11,8,project,2.4956201634062825
11,8,sklearn,0.7797676064152531
12,2,project,2.0919624212249834
12,2,sklearn,2.0825938976796214
12,4,project,1.9096321196860186
12,4,sklearn,1.6645154995752989
12,6,project,1.6684608707612743
12,6,sklearn,1.237353671766233
12,8,project,2.0589998607333024
12,8,sklearn,0.7898083679930497
13,2,project,2.1539323084737876
13,2,sklearn,2.1426722294545226
13,4,project,1.801216048741479
13,4,sklearn,1.7068888653099188
13,6,project,1.5509820105022671
13,6,sklearn,1.2603127510281713
13,8,project,1.4567881186592653
13,8,sklearn,0.815383454949635
14,2,project,2.549894115448718
14,2,sklearn,2.0716422519802147
14,4,project,2.549894115448718
14,4,sklearn,1.654629931718238
14,6,project,2.549894115448718
14,6,sklearn,1.1994798407279217
14,8,project,2.549894115448718
14,8,sklearn,0.7706540622738589
15,2,project,2.5541104126486
15,2,sklearn,2.102476116694758
15,4,project,2.5541104126486
15,4,sklearn,1.6810954428704434
15,6,project,2.5541104126486
15,6,sklearn,1.1873193081754
15,8,project,2.5541104126486
15,8,sklearn,0.760054715321037
16,2,project,2.1454962653662513
16,2,sklearn,2.0927178870028267
16,4,project,1.8336026189015782
16,4,sklearn,1.66453361249714
16,6,project,1.6552426283424173
16,6,sklearn,1.2355859384987067
16,8,project,1.6552914283221962
16,8,sklearn,0.7652481396196028
17,2,project,2.1366694165883935
17,2,sklearn,2.028693047782159
17,4,project,1.8704574739057778
17,4,sklearn,1.595919210549711
17,6,project,1.7432084697860235
17,6,sklearn,1.1500604993697745
17,8,project,1.7378345118799428
17,8,sklearn,0.6961228743045872
18,2,project,2.555511690444792
18,2,sklearn,2.0919500703575955
18,4,project,2.555511690444792
18,4,sklearn,1.6056248743187393
18,6,project,2.555511690444792
18,6,sklearn,1.1773982714058533
18,8,project,2.555511690444792
18,8,sklearn,0.7233057872388956
19,2,project,2.0119075301297915
19,2,sklearn,2.011907530129786
19,4,project,1.5883726457682286
19,4,sklearn,1.5748098781118534
19,6,project,1.2637463675491423
19,6,sklearn,1.1630356257989425
19,8,project,1.0329239983473002
19,8,sklearn,0.7280953887591947
20,2,project,2.1195176805067746
20,2,sklearn,2.071745299195311
20,4,project,1.7547835187190715
20,4,sklearn,1.6312218939683714
20,6,project,1.416458880401038
20,6,sklearn,1.186620865068915
20,8,project,1.2095129525721748
20,8,sklearn,0.7380187368843739
21,2,project,2.483046515875206
21,2,sklearn,2.010179168152232
21,4,project,2.483046515875206
21,4,sklearn,1.6052052193368798
21,6,project,2.483046515875206
21,6,sklearn,1.1891050422353435
21,8,project,2.483046515875206
21,8,sklearn,0.718360474914701
22,2,project,2.1290401017515657
22,2,sklearn,2.077451081856018
22,4,project,1.8003024767695224
22,4,sklearn,1.6478047139591385
22,6,project,1.5939528311049387
22,6,sklearn,1.1931209613204425
22,8,project,1.5359829836493186
22,8,sklearn,0.6973706424649897
23,2,project,2.462600251766413
23,2,sklearn,2.0049645588917606
23,4,project,2.462600251766413
23,4,sklearn,1.6121653174266977
23,6,project,2.462600251766413
23,6,sklearn,1.2233100710413156
23,8,project,2.462600251766413
23,8,sklearn,0.7858893732257499
24,2,project,2.1156147825980165
24,2,sklearn,2.1156147825979956
24,4,project,1.7542021810310038
24,4,sklearn,1.6624624397332537
24,6,project,1.4703974186778712
24,6,sklearn,1.22025903439453
24,8,project,1.2604089950710924
24,8,sklearn,0.7579485480809596
25,2,project,2.0438206041625593
25,2,sklearn,2.0151882024286802
25,4,project,1.812570263054509
25,4,sklearn,1.5718357211195642
25,6,project,1.7689921859256612
25,6,sklearn,1.1411587124836482
25,8,project,1.6931431237015648
25,8,sklearn,0.7092224080173148
26,2,project,2.4590241967089304
26,2,sklearn,2.010385909219351
26,4,project,2.4590241967089304
26,4,sklearn,1.596199697587851
26,6,project,2.4590241967089304
26,6,sklearn,1.2009775979232793
26,8,project,2.4590241967089304
26,8,sklearn,0.723232824711702
27,2,project,2.147657860509386
27,2,sklearn,2.120484339463165
27,4,project,1.8323618192512916
27,4,sklearn,1.6922729000442196
27,6,project,1.6208482278267895
27,6,sklearn,1.2197846800985688
27,8,project,1.5496469857692472
27,8,sklearn,0.745343670561513
28,2,project,2.086916603911872
28,2,sklearn,2.086916603909332
28,4,project,1.6552016608326647
28,4,sklearn,1.6536373671790097
28,6,project,1.2286162477052571
28,6,sklearn,1.2260679586671481
28,8,project,0.7708933052456142
28,8,sklearn,0.7686788483629996
29,2,project,2.0590221009510223
29,2,sklearn,2.0590221009510206
29,4,project,1.6196006406431582
29,4,sklearn,1.6196006406401446
29,6,project,1.1957193076547197
29,6,sklearn,1.1957193076546753
29,8,project,0.7584742398029172
29,8,sklearn,0.7584742398027923
30,2,project,2.1330605470739266
30,2,sklearn,2.0888502090843324
30,4,project,1.763948009185421
30,4,sklearn,1.6293775714870982
30,6,project,1.422331493451789
30,6,sklearn,1.1648206295214836
30,8,project,1.1758375875295968
30,8,sklearn,0.7296871491853064
31,2,project,2.130151681269069
31,2,sklearn,2.1219823830735542
31,4,project,1.7628453231337973
31,4,sklearn,1.6583670498365832
31,6,project,1.4723043832004106
31,6,sklearn,1.2278377826001705
31,8,project,1.2649260899018486
31,8,sklearn,0.7534203235093507
32,2,project,2.204327162372289
32,2,sklearn,2.1987968707842014
32,4,project,1.8426180925027726
32,4,sklearn,1.7598623901510455
32,6,project,1.5292199058733489
32,6,sklearn,1.2780058013617888
32,8,project,1.3273818615997948
32,8,sklearn,0.759322667918701
33,2,project,2.0084313708591477
33,2,sklearn,2.0084313708591472
33,4,project,1.6587330563839051
33,4,sklearn,1.5972565531211635
33,6,project,1.3940316076502128
33,6,sklearn,1.162856141537605
33,8,project,1.1837782974060946
33,8,sklearn,0.7374591041404666
34,2,project,2.0578460098005866
34,2,sklearn,2.0578460098005587
34,4,project,1.6279778623901915
34,4,sklearn,1.6279778623900907
34,6,project,1.2185917521178458
34,6,sklearn,1.2185917521176473
34,8,project,0.8011243862562976
34,8,sklearn,0.8011243862552871
35,2,project,2.1408604710865844
35,2,sklearn,2.0921660884958877
35,4,project,1.8120668762170575
35,4,sklearn,1.6699090188497674
35,6,project,1.533033675609093
35,6,sklearn,1.2629258164970552
35,8,project,1.435122813693008
35,8,sklearn,0.8133802952146485
36,2,project,2.484165855976609
36,2,sklearn,2.0541332329860045
36,4,project,2.484165855976609
36,4,sklearn,1.6215656048657945
36,6,project,2.484165855976609
36,6,sklearn,1.1762602839631329
36,8,project,2.484165855976609
36,8,sklearn,0.7584689202357825
37,2,project,2.162552183089125
37,2,sklearn,2.119385492228634
37,4,project,1.8914935681749565
37,4,sklearn,1.6971342524731052
37,6,project,1.717151689287767
37,6,sklearn,1.2542336990412266
37,8,project,1.720996679256876
37,8,sklearn,0.8087116216902763
38,2,project,2.053164491538678
38,2,sklearn,1.9964940090989405
38,4,project,1.7472666903485137
38,4,sklearn,1.5570697854941329
38,6,project,1.4908482064957893
38,6,sklearn,1.123353361496247
38,8,project,1.396606303745116
38,8,sklearn,0.6569705186651424
39,2,project,2.122681708237561
39,2,sklearn,2.0714325331622643
39,4,project,1.7533385853501735
39,4,sklearn,1.6014963896471708
39,6,project,1.488519457678579
39,6,sklearn,1.175085158587928
39,8,project,1.3045860343822082
39,8,sklearn,0.7225115337371475
40,2,project,2.0629683126735725
40,2,sklearn,2.0629683126735725
40,4,project,1.6811181837932456
40,4,sklearn,1.6349420829639585
40,6,project,1.6537495548825139
40,6,sklearn,1.1981556997413179
40,8,project,1.0624046157714964
40,8,sklearn,0.7628985566427714
41,2,project,2.1726811127639927
41,2,sklearn,2.154919517247093
41,4,project,1.8449189333040066
41,4,sklearn,1.722790654538752
41,6,project,1.588036193150539
41,6,sklearn,1.3043699211211353
41,8,project,1.4617151445056231
41,8,sklearn,0.8506478513201672
42,2,project,2.1585396487373307
42,2,sklearn,2.1585396487373276
42,4,project,1.7843924971990137
42,4,sklearn,1.7112106301250882
42,6,project,1.4604715669108737
42,6,sklearn,1.2588278547093454
42,8,project,1.5051479077161474
42,8,sklearn,0.7302267639293756
43,2,project,2.102182972022049
43,2,sklearn,2.0827007437428895
43,4,project,1.7535490630307033
43,4,sklearn,1.6643181369611804
43,6,project,1.4930481164554246
43,6,sklearn,1.259504269591151
43,8,project,1.4026993057407529
43,8,sklearn,0.7484139453041655
44,2,project,1.994062140266972
44,2,sklearn,1.994062140265314
44,4,project,1.6052530957336892
44,4,sklearn,1.6052530957336435
44,6,project,1.2917584838098433
44,6,sklearn,1.2070194953863913
44,8,project,1.0343678653764694
44,8,sklearn,0.7737719945637864
45,2,project,2.061726284435389
45,2,sklearn,2.0617262844352666
45,4,project,1.636652731294286
45,4,sklearn,1.6366527312942702
45,6,project,1.3896832173820934
45,6,sklearn,1.2445748698302024
45,8,project,1.2735065881129624
45,8,sklearn,0.7968041898092595
46,2,project,2.1576393496426687
46,2,sklearn,2.135437318963001
46,4,project,1.8334283409676007
46,4,sklearn,1.6909902337441955
46,6,project,1.6125672202969652
46,6,sklearn,1.2511993801768837
46,8,project,1.5307183515219136
46,8,sklearn,0.7844201780570845
47,2,project,2.039966985686751
47,2,sklearn,2.0399669856867044
47,4,project,1.6112389093864012
47,4,sklearn,1.6112389093862352
47,6,project,1.2102159684485903
47,6,sklearn,1.2102159684467737
47,8,project,0.7624741520876399
47,8,sklearn,0.7624741520756004
48,2,project,2.0052688372481224
48,2,sklearn,2.005268837248121
48,4,project,1.8906680216209024
48,4,sklearn,1.6233175555640575
48,6,project,1.6083101639728328
48,6,sklearn,1.2044986563807007
48,8,project,1.5705663248721158
48,8,sklearn,0.7044365526063643
49,2,project,2.3464230601462934
49,2,sklearn,2.238304184619519
49,4,project,2.0721850825707513
49,4,sklearn,1.800029184506455
49,6,project,1.8949929344993122
49,6,sklearn,1.3561132252473962
49,8,project,1.8949929344993022
49,8,sklearn,0.8384228018288096
50,2,project,2.0280700106275544
50,2,sklearn,2.0280700106275242
50,4,project,1.5830908050297505
50,4,sklearn,1.5830908050296832
50,6,project,1.1692416240465728
50,6,sklearn,1.1692416240464782
50,8,project,0.7520656575562201
50,8,sklearn,0.7520656575542329
51,2,project,2.122531604632913
51,2,sklearn,2.1225316046326363
51,4,project,1.7327175156856707
51,4,sklearn,1.7207049905185081
51,6,project,1.4337054538064185
51,6,sklearn,1.2873729332905448
51,8,project,1.6089695794783594
51,8,sklearn,0.8115494170047386
52,2,project,2.114585318100039
52,2,sklearn,2.076908238424697
52,4,project,1.7148691566083893
52,4,sklearn,1.6216435485958145
52,6,project,1.3639536441694335
52,6,sklearn,1.1758809526148608
52,8,project,1.1094224815317635
52,8,sklearn,0.7256209154257526
53,2,project,2.5239730584932953
53,2,sklearn,2.058010376295246
53,4,project,2.5239730584932953
53,4,sklearn,1.6171644178292222
53,6,project,2.5239730584932953
53,6,sklearn,1.2337604446429005
53,8,project,2.5239730584932953
53,8,sklearn,0.7621867605390422
54,2,project,2.1127206937852687
54,2,sklearn,2.0459893789282213
54,4,project,1.7985197628727654
54,4,sklearn,1.6382644497250438
54,6,project,1.552385789436376
54,6,sklearn,1.2409432528114372
54,8,project,1.548079160105222
54,8,sklearn,0.8377410186958079
55,2,project,2.0620915206766215
55,2,sklearn,2.062091520676615
55,4,project,1.6041942906030815
55,4,sklearn,1.6041942906030078
55,6,project,1.239432059827755
55,6,sklearn,1.2024389701626106
55,8,project,0.9134953830442036
55,8,sklearn,0.7534432952036835
56,2,project,2.0970511910839904
56,2,sklearn,2.036087501567049
56,4,project,1.7774138037584826
56,4,sklearn,1.5762529977766482
56,6,project,1.5408792037330503
56,6,sklearn,1.1144958711030986
56,8,project,1.393698776638167
56,8,sklearn,0.6769619900526597
57,2,project,2.1145919984609045
57,2,sklearn,2.0810646674594064
57,4,project,1.8050843406068107
57,4,sklearn,1.623215950539056
57,6,project,1.6011738761758376
57,6,sklearn,1.1857969079408022
57,8,project,1.5332724299457596
57,8,sklearn,0.7040993255470516
58,2,project,2.18098671431512
58,2,sklearn,2.1110161485626584
58,4,project,1.8694308673546287
58,4,sklearn,1.691123946180378
58,6,project,1.6327527303092162
58,6,sklearn,1.271014984748009
58,8,project,1.633125156191742
58,8,sklearn,0.8612599491731802
59,2,project,2.147813920497486
59,2,sklearn,2.0698213304406643
59,4,project,1.8227473714359237
59,4,sklearn,1.6711739158575032
59,6,project,1.557931656893052
59,6,sklearn,1.240535997725271
59,8,project,1.4668843171680261
59,8,sklearn,0.802292109599184
60,2,project,2.12765915853588
60,2,sklearn,2.1276591585358435
60,4,project,1.7299678727449586
60,4,sklearn,1.7070951460790162
60,6,project,1.4430879167390942
60,6,sklearn,1.2771786859993506
60,8,project,1.3496411215340303
60,8,sklearn,0.8208780251150145
61,2,project,2.3741831704927208
61,2,sklearn,2.0446839445414184
61,4,project,2.3741831704927208
61,4,sklearn,1.6007311950266507
61,6,project,2.3741831704927208
61,6,sklearn,1.1689905635523867
61,8,project,2.3741831704927208
61,8,sklearn,0.7111001919493827
62,2,project,2.089938814180092
62,2,sklearn,2.0899388141800914
62,4,project,1.6955455687259913
62,4,sklearn,1.662163397754073
62,6,project,1.3305813873007162
62,6,sklearn,1.2279716362854127
62,8,project,1.0154071321701537
62,8,sklearn,0.7523260827445137
63,2,project,2.0475985121753135
63,2,sklearn,2.0475985121752958
63,4,project,1.6203758762514833
63,4,sklearn,1.620375876251457
63,6,project,1.2455612723568146
63,6,sklearn,1.221989739319978
63,8,project,0.9075329719898368
63,8,sklearn,0.7903465556684479
64,2,project,2.1592691393437855
64,2,sklearn,2.1397564091638515
64,4,project,1.8626733738771084
64,4,sklearn,1.7091956284295944
64,6,project,1.654216169498474
64,6,sklearn,1.238769423173059
64,8,project,1.5759581609733357
64,8,sklearn,0.7440835561353881
65,2,project,2.2237654104539586
65,2,sklearn,2.164831158471362
65,4,project,1.943155010371011
65,4,sklearn,1.7147788619585678
65,6,project,1.7387358103738884
65,6,sklearn,1.2350327335456954
65,8,project,1.6560705368130917
65,8,sklearn,0.7929909628030083
66,2,project,2.047830832240416
66,2,sklearn,2.0478308322404146
66,4,project,1.625999378731597
66,4,sklearn,1.6259993787315956
66,6,project,1.245313043986669
66,6,sklearn,1.2051856318593623
66,8,project,0.9199162620470318
66,8,sklearn,0.7649852921908918
67,2,project,2.209313206002637
67,2,sklearn,2.1577928289485344
67,4,project,1.6918203480143466
67,4,sklearn,1.6917308667304904
67,6,project,1.2922628780223042
67,6,sklearn,1.2125069980519743
67,8,project,1.022779215103278
67,8,sklearn,0.7946491451740688
68,2,project,2.1124203927631178
68,2,sklearn,2.0674188565728464
68,4,project,1.8127760736749639
68,4,sklearn,1.6381794783280434
68,6,project,1.6041698236951412
68,6,sklearn,1.2277903651446658
68,8,project,1.604169823691372
68,8,sklearn,0.8168629304909618
69,2,project,2.1787965507422444
69,2,sklearn,2.178796550742244
69,4,project,1.8006196280456925
69,4,sklearn,1.7776274831362233
69,6,project,1.5460769644001555
69,6,sklearn,1.3350296863387743
69,8,project,1.4450254386771026
69,8,sklearn,0.8611126527302893
70,2,project,2.1416488680862886
70,2,sklearn,2.141648868086288
70,4,project,1.797336238169418
70,4,sklearn,1.7132305285230207
70,6,project,1.5490258058224555
70,6,sklearn,1.273513136540936
70,8,project,1.4524301945136806
70,8,sklearn,0.8266368501959941
71,2,project,2.064840791748955
71,2,sklearn,2.064840791748953
71,4,project,1.6322416067007637
71,4,sklearn,1.6322416067007595
71,6,project,1.2718420396574843
71,6,sklearn,1.2152290860937263
71,8,project,0.9477968709635242
71,8,sklearn,0.7752402116298587
72,2,project,2.029959532033576
72,2,sklearn,2.023501331700871
72,4,project,1.7040058776007323
72,4,sklearn,1.6033688087246591
72,6,project,1.4576775178650172
72,6,sklearn,1.1634778847326241
72,8,project,1.3722965168112167
72,8,sklearn,0.7579146703041871
73,2,project,2.0504077916272765
73,2,sklearn,2.050407791627262
73,4,project,1.6242929552809304
73,4,sklearn,1.604861913388171
73,6,project,1.3426121222572862
73,6,sklearn,1.1913824266458557
73,8,project,1.0806831361131033
73,8,sklearn,0.770853570334401
74,2,project,2.0801483282749076
74,2,sklearn,2.0801483282748894
74,4,project,1.698873716424586
74,4,sklearn,1.6651314123022625
74,6,project,1.6550797022532648
74,6,sklearn,1.2402236348073958
74,8,project,1.6277216268843517
74,8,sklearn,0.7455204057778135
75,2,project,2.07958302455442
75,2,sklearn,2.0795830245544162
75,4,project,1.6956234691091425
75,4,sklearn,1.654446567125259
75,6,project,1.320605087333837
75,6,sklearn,1.2015824197558915
75,8,project,1.3212479271129751
75,8,sklearn,0.7122514100993984
76,2,project,2.065593902958237
76,2,sklearn,2.0655939029582364
76,4,project,1.7185335130381785
76,4,sklearn,1.6656506883081166
76,6,project,1.416079667225676
76,6,sklearn,1.239492916291423
76,8,project,1.190384284983613
76,8,sklearn,0.7669855787635513
77,2,project,2.5489684187921986
77,2,sklearn,2.0432915259165343
77,4,project,2.5489684187921986
77,4,sklearn,1.617012758778352
77,6,project,2.5489684187921986
77,6,sklearn,1.188776152493102
77,8,project,2.5489684187921986
77,8,sklearn,0.7624891740353347
78,2,project,2.0785997254148265
78,2,sklearn,2.07859972541481
78,4,project,1.6580943700956767
78,4,sklearn,1.6580943700956665
78,6,project,1.3286248265722918
78,6,sklearn,1.2404870632942848
78,8,project,1.0814232500587169
78,8,sklearn,0.7718598862599679
79,2,project,2.646779174770725
79,2,sklearn,2.1968959054043604
79,4,project,2.646779174770725
79,4,sklearn,1.7300804703392139
79,6,project,2.646779174770725
79,6,sklearn,1.21849154421998
79,8,project,2.646779174770725
79,8,sklearn,0.7828603615316428
80,2,project,2.1031146287505904
80,2,sklearn,2.10311462875059
80,4,project,1.703040687140357
80,4,sklearn,1.667474461284923
80,6,project,1.3466924222760672
80,6,sklearn,1.1861999223208468
80,8,project,1.1191562586117823
80,8,sklearn,0.749045892484328
81,2,project,2.60725909721301
81,2,sklearn,2.149393474991591
81,4,project,2.60725909721301
81,4,sklearn,1.7204120176771798
81,6,project,2.60725909721301
81,6,sklearn,1.2779894982427449
81,8,project,2.60725909721301
81,8,sklearn,0.820686083884953
82,2,project,2.256109910774844
82,2,sklearn,2.165169551309402
82,4,project,1.9810502056229895
82,4,sklearn,1.749046300719185
82,6,project,1.807919106407157
82,6,sklearn,1.2696625934659576
82,8,project,1.807919106407376
82,8,sklearn,0.809931121692937
83,2,project,1.9777534565390276
83,2,sklearn,1.9777185692695978
83,4,project,1.5842069762578384
83,4,sklearn,1.5841208519186636
83,6,project,1.2427182709258326
83,6,sklearn,1.1955924787153909
83,8,project,1.0088169279221184
83,8,sklearn,0.7334840163584032
84,2,project,2.0628347756880925
84,2,sklearn,2.042815744723458
84,4,project,1.797337893015264
84,4,sklearn,1.5667799930306383
84,6,project,1.4049721641632347
84,6,sklearn,1.1619434101697346
84,8,project,1.2058618488736015
84,8,sklearn,0.7465069379596491
85,2,project,2.096261056007356
85,2,sklearn,2.0962610560073514
85,4,project,1.667064400115534
85,4,sklearn,1.6670644001148929
85,6,project,1.389052139720087
85,6,sklearn,1.203540624300889
85,8,project,1.3139992805916
85,8,sklearn,0.7311271026959529
86,2,project,2.2219555394268493
86,2,sklearn,2.143734601475108
86,4,project,1.9698051085024593
86,4,sklearn,1.700198659014929
86,6,project,1.8304605139494465
86,6,sklearn,1.2437028515361594
86,8,project,1.8304605139493157
86,8,sklearn,0.7276994381987737
87,2,project,2.160182207347458
87,2,sklearn,2.0936138399124817
87,4,project,1.8677171523329725
87,4,sklearn,1.7037973863729152
87,6,project,1.6216039880915554
87,6,sklearn,1.30498619501259
87,8,project,1.5886594661740325
87,8,sklearn,0.8293937441268856
88,2,project,2.1315977384236833
88,2,sklearn,2.071194765000109
88,4,project,1.8495945875762871
88,4,sklearn,1.6653036256256588
88,6,project,1.679266213961339
88,6,sklearn,1.2458614208895684
88,8,project,1.6785852268650918
88,8,sklearn,0.7770293755371399
89,2,project,2.1289787959819706
89,2,sklearn,2.1289787959816664
89,4,project,1.745327804394702
89,4,sklearn,1.7015070393608598
89,6,project,1.38409005731113
89,6,sklearn,1.265676516243722
89,8,project,1.1101801338800137
89,8,sklearn,0.7774181044245131
90,2,project,2.134695023002566
90,2,sklearn,2.075126794446508
90,4,project,1.8200652612138661
90,4,sklearn,1.6583488513257303
90,6,project,1.6073599477529408
90,6,sklearn,1.227124943328628
90,8,project,1.4959307665424362
90,8,sklearn,0.7738094398927768
91,2,project,2.525240582598023
91,2,sklearn,2.020919617718117
91,4,project,2.525240582598023
91,4,sklearn,1.5794004710268315
91,6,project,2.525240582598023
91,6,sklearn,1.1233558516815023
91,8,project,2.525240582598023
91,8,sklearn,0.7277657480933266
92,2,project,2.2425030431258794
92,2,sklearn,2.1617181898467575
92,4,project,1.9552521661534297
92,4,sklearn,1.719143195266918
92,6,project,1.7153888731998375
92,6,sklearn,1.3227412673587502
92,8,project,1.6975805911593345
92,8,sklearn,0.8333053831083346
93,2,project,2.145092389496755
93,2,sklearn,2.1450923894967016
93,4,project,1.7412041365143471
93,4,sklearn,1.7015678319776821
93,6,project,1.3778265091369926
93,6,sklearn,1.2453111109854855
93,8,project,1.0765089406067168
93,8,sklearn,0.7959577795811487
94,2,project,2.0246729387510674
94,2,sklearn,2.024672938751067
94,4,project,1.6937690226848034
94,4,sklearn,1.5731099389189764
94,6,project,1.4564492813569205
94,6,sklearn,1.11544962827569
94,8,project,1.2746080295468323
94,8,sklearn,0.7047119128972834
95,2,project,2.172044580629692
95,2,sklearn,2.108714965360975
95,4,project,1.807081417819485
95,4,sklearn,1.6464368540839125
95,6,project,1.4957114263332691
95,6,sklearn,1.2277975843648317
95,8,project,1.2134373172764805
95,8,sklearn,0.7840403476405902
96,2,project,2.131103337264351
96,2,sklearn,2.072621300146143
96,4,project,1.8317233404303244
96,4,sklearn,1.6477023417711003
96,6,project,1.6017524462400412
96,6,sklearn,1.2363381288533137
96,8,project,1.5246853420238329
96,8,sklearn,0.7760069235497168
97,2,project,2.0420933294398895
97,2,sklearn,2.042093329439885
97,4,project,1.659994325646516
97,4,sklearn,1.6452095422436916
97,6,project,1.4069773762270794
97,6,sklearn,1.2218768217873521
97,8,project,1.4058098354786484
97,8,sklearn,0.816784297335926
98,2,project,2.5135234234038877
98,2,sklearn,2.073476628786046
98,4,project,2.5135234234038877
98,4,sklearn,1.6184385598969615
98,6,project,2.5135234234038877
98,6,sklearn,1.191423336532662
98,8,project,2.5135234234038877
98,8,sklearn,0.7019613846343578
99,2,project,2.490020080240318
99,2,sklearn,2.030263016621091
99,4,project,2.490020080240318
99,4,sklearn,1.6156407187999022
99,6,project,2.490020080240318
99,6,sklearn,1.1885692519450297
99,8,project,2.490020080240318
99,8,sklearn,0.777412742397325
